provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 001 PERANAP,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B3D265196C3858C7A5A
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 002 PERANAP,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD841230ABC652EAA97C
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 003 PERANAP,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/018CEB03842038944CA4
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 004 BATURIJAL HULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A27A3A4531A551E4EC3
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 005 BATURIJAL HULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ACB69A4BC50C249C7F1D
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 006 BATURIJAL HULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7664237FEF036748B2A1
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 007 GUMANTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/021754E5E47CDE22F70C
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 008 SEMELINANG LAUT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/570B86C3803FFB960EE8
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 009 BATURIJAL HILIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4A35741FE76911B2EE00
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 010 SEMELINANG DARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07BB8D11A1E614763FF1
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 011 PERANAP,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38B939664C050B4E0FB2
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 012 TANJUNG BARU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E010A134E9C0417FC7A
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 013 KEBUN CINA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C532DFC82156800B005
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 014 KAMPUNG BARU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D812B6822865FA2E81EA
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 015 PURA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3763FFD6CF57693C2F2C
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 016 PANDAN AIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F739E6A536E8B1D78942
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 017 BATURIJAL HULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C2BD51D060DB61B34B02
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 018 SERAI WANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EB148BAEDCAC99947834
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 019 PANDAN WANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5451AC88A552A2FA45E0
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 020 KATIPO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B86DD98B1189BA56D8FA
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 021 SERAI WANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFD3B7149DB52A2EA02B
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 022 PANDAN WANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7CC84C51840B905A315
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 023 SUNGAI UBO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F060C130602CA446F196
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD NEGERI 024 HULU PELADANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/937DB8ECD2BC732F6CC9
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD SWASTA PERMATA PERANAP,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48B4C2B4796E61C390CF
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD SWASTA PONDOK II INDRI PLANT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C7D83ABC02F3A989555
Prov. Riau,Kab. Indragiri Hulu,Kec. Peranap,SD SWASTA PONDOK IV INDRI PLANT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69D765C8CCB001722E1F
