provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN JOMBANG 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CCCB241B9471EA33020C
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN JOMBANG 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D708304FA0F9176A348
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN JOMBANG 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46668C7B653DC52D7EB6
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN JOMBANG 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/89B6F6C1731AB8662BEE
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN JOMBANG 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/74F73B27C67450F13E93
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN KETING 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/01074218CE89444086D5
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN KETING 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F943DDEBF12474B62ABF
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN KETING 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ECD37E54DEB4DE5EBCBC
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN KETING 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E1857BDC518FF5ABDC78
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN NGAMPELREJO 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0CBD4B828008DBEA8A05
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN NGAMPELREJO 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8C926F3296B6C0CDE5A
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN PADOMASAN 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D907CA757427B855BC16
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN PADOMASAN 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/893A826A9BD9E8473F1E
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN PADOMASAN 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D684675B54B556735330
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN PADOMASAN 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00529E9AA33E09345780
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN PADOMASAN 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97ABD7825AE3E56E07D4
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN PADOMASAN 06,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/808C598F3990C9662309
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN WRINGINAGUNG 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A688B85BE1A0F0693F82
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN WRINGINAGUNG 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D5461AFF8FAFB0782855
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN WRINGINAGUNG 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00426733D2AA7D870DED
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN WRINGINAGUNG 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2597EC16DDE394D3D666
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDN WRINGINAGUNG 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/90B0D948BD870B21A2FA
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDS I NURUL CHOTIB AL QODIRI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/39DC9A93BC39F9927AEF
Prov. Jawa Timur,Kab. Jember,Kec. Jombang,SDS NU PADOMASAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5C88098EE502BB69F1B7
