provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD INPRES 2 KAIMANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A96B833415B5D211CAB7
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD INPRES FOROMAJAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/235B23FB69E8108CC994
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD INPRES MAIMAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/863C8F216F1C4F79723C
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD INPRES NANGGAROMI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/824C788AAF7842933299
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD INPRES SISIR 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B0E5A373BC8D2B5A2CF
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD INPRES TANGGAROMI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3227DF9E8ACEF0BD079F
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD INPRES WARIKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/02B073878741E59429BF
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD NEGERI 1 KAIMANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/72B1A034B8729E78F262
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD NEGERI 3 KAIMANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/708BC855A48A654D2659
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD NEGERI 4 KAIMANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40F4C3E8A7ED7E3A1EFA
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD NEGERI COA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF60B102F235FEB12E08
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD NEGERI JARATI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/541C5A55BEA3C01F4B58
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD NEGERI KAMAKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60D56D6D90B4343D6204
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD NEGERI MATOA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70792BB128FD914893BB
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD NEGERI SARIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8FA5BB64BCAB7632C7C
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD NEGERI TARWATA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21E5B7FD6C631573513F
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SDN KROOY,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F39F0400BF3E119418F7
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD YAPIS KAIMANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/824115E377596D902A9E
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD YPK KAIMANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF15C6844CC364DB4524
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD YPK LOBO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6EB4B4EAA0BBAB5BCDD9
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD YPK NAMATOTA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38A3416954015D063E1D
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD YPK SISIR 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C142E1F5C2610A75D45D
Prov. Papua Barat,Kab. Kaimana,Kec. Kaimana,SD YPPK SANTO FRANSISKUS KAIMANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB9B8114DF1E9AC91FD2
