provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 001 GEMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/53F12E8B500BF806917B
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 002 TANJUNG BELIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1140E65411FEA324FFE2
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 003 TANJUNG BELIT SELATAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/948A84D042B3067688E1
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 004 BATU SANGGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C6407C0887ADAF1E1C2E
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 005 AUR KUNING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38BFD70F5B43C2EB0BAA
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 006 KOTA LAMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/26618A1C70FFA68FD62F
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 007 LUDAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E42A747945E5257BDE3
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 009 KEBUN TINGGI ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D95421F04F675028A5E9
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 010 BATU SASAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15EB6DB49AEAAD36088E
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 011 TANJUNG KARANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FEEDBC8FCA97A6E1A9EB
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 012 BATU SANGGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F56AB3F9E167EF578F8F
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 013 GAJAH BERTALUT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/602820CC1FBD3A311FF2
Prov. Riau,Kab. Kampar,Kec. Kampar Kiri Hulu,SD NEGERI 014 TERUSAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/87CC1A78F76C57CBBFC2
