provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 001 TANJUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1358E17AEE4AF9D48DA4
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 002 TANJUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4FF5C7D7BAE0A7FB4475
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 003 TANJUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DACACAE70CF62B415A5A
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 004 TABING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C7A55425DF5DAC96C59F
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 005 GUNUNG MALELO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B6CC698052C5CFA19FF6
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 006 GUNUNG MALELO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBDF56CC7E7ED2A4EE41
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 007 SIBIRUANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8AA0AAB18A393B9835BB
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 008 BANDUR PICAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/83E068AFD6C7F22FA294
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 009 BANDUR PICAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A66E976699BF23B79C8B
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 010 SIBIRUANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/89FEB25F816DF997B8DC
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 011 BANDUR PICAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7BAD52147C3053DE7F28
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 012 SIBIRUANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/41B0C6775A5140685D3C
Prov. Riau,Kab. Kampar,Kec. Koto Kampar Hulu,SD NEGERI 013 PONGKAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20457968448801586BD1
