provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI 1 MRENTUL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/231447B4A617ACF1323F
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI 1 NGASINAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/11BF61F996CB74A3C7D7
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI 1 PATUKREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F5D08A4057AE45F95F8
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI 1 PUJODADI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F53FAE763BFC1E2143B2
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI 2 BONJOKKIDUL ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3AACC56D4B6B325EC1F0
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI 2 NGASINAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/84BB2899527D377FA65D
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI 2 PUJODADI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D30FF1E21E7166FF3E1E
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI 3 BONJOKLOR ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A31621D7F71EA7E875CF
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI 3 PATUKREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15D5DD97E7D0C450F745
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI BALOREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/90D2E7C5F142A2317BB1
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI BONJOK KIDUL 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1FBB5F9DB19C7F35B708
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI BONJOK LOR 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA18040EE7741836587E
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI BONJOK LOR 4,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60FA59B865271D1E68EE
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI BONOROWO ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D566A3DBA73C4A1431EA
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI MRENTUL 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4546279DF86DA4547CDA
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI MRENTUL 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/30ADAB93946B431DF0EC
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI ROWOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E52E383C158CD271824
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI SIRNOBOYO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/82B95208CAA08966C8EB
Prov. Jawa Tengah,Kab. Kebumen,Kec. Bonorowo,SD NEGERI TLOGOREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7BCE440BBA5539FDCA7D
