provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Maluku,Kab. Kepulauan Aru,Kec. Sir-Sir,SD INPRES KOLAHA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE7CC17D9119D84B65C6
Prov. Maluku,Kab. Kepulauan Aru,Kec. Sir-Sir,SD NEGERI GODA-GODA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0B328BD62F18B9EB6E3
Prov. Maluku,Kab. Kepulauan Aru,Kec. Sir-Sir,SD NEGERI INPRES LONDE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/452F14270D175504CA69
Prov. Maluku,Kab. Kepulauan Aru,Kec. Sir-Sir,SD NEGERI MOHANGSEL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC7FCA07FE09E411AD99
Prov. Maluku,Kab. Kepulauan Aru,Kec. Sir-Sir,SD NEGERI MOHONG PULAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5054E0F24404263FD53
Prov. Maluku,Kab. Kepulauan Aru,Kec. Sir-Sir,SD ALHILAL LEITING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C5F3B9CA3FCE0CAE82F9
Prov. Maluku,Kab. Kepulauan Aru,Kec. Sir-Sir,SD KRISTEN GUMSEY,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B82243FEDDC37AD85C1F
Prov. Maluku,Kab. Kepulauan Aru,Kec. Sir-Sir,SD KRISTEN LANGHALAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/995BD1F53BAB987F3813
Prov. Maluku,Kab. Kepulauan Aru,Kec. Sir-Sir,SD KRISTEN WAIFUAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20A8B2545458693E4B9E
Prov. Maluku,Kab. Kepulauan Aru,Kec. Sir-Sir,SD NASKAT BERDEFAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B2BB7D4644DBB71FE07
Prov. Maluku,Kab. Kepulauan Aru,Kec. Sir-Sir,SD NASKAT WAFAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/592EB6918758901A81EF
