provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jambi,Kab. Kerinci,Kec. Gunung Kerinci,SD Negei 68III SIULAK DERAS MUDIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E37031CE85A4ABB2302
Prov. Jambi,Kab. Kerinci,Kec. Gunung Kerinci,SD NEGERI 046III KEL. SIULAK DERAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DBC75F90A91F42EBC534
Prov. Jambi,Kab. Kerinci,Kec. Gunung Kerinci,SD NEGERI 115III TANJUNG GENTING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44C50C66AD002CB3E084
Prov. Jambi,Kab. Kerinci,Kec. Gunung Kerinci,SD NEGERI 149III DANAU TINGGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/52D51E95D6A043AE203B
Prov. Jambi,Kab. Kerinci,Kec. Gunung Kerinci,SD NEGERI 186III SIULAK DERAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA7D02380BFF6427DC0B
Prov. Jambi,Kab. Kerinci,Kec. Gunung Kerinci,SD NEGERI 188III SUNGAI BETUNG MUDIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D0F255D35975D5B3AC1
Prov. Jambi,Kab. Kerinci,Kec. Gunung Kerinci,SD NEGERI 189III SUKO PANGKAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/270E7AEAEC2AC46E73CE
Prov. Jambi,Kab. Kerinci,Kec. Gunung Kerinci,SD NEGERI 190III SUNGAI GELAMPEH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/86D7B90CD2237505578E
Prov. Jambi,Kab. Kerinci,Kec. Gunung Kerinci,SD NEGERI 79III SIMPANG TUTUP,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBFC6D10B9025FBAB366
Prov. Jambi,Kab. Kerinci,Kec. Gunung Kerinci,SD NEGERI 89III SEI. BATU GANTIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61C4B500B84848D221CB
Prov. Jambi,Kab. Kerinci,Kec. Gunung Kerinci,SD NEGERI 92III SUNGAI BETUNG HILIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E097A53E5A0DD5C2A24
Prov. Jambi,Kab. Kerinci,Kec. Gunung Kerinci,SD NEGERI 94III SIULAK DERAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D3BBF4447A6671317F85
