provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 01 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DBDE656C8901FB43BBF
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 02 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/048AD9B219258B8E68D0
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 03 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2DBEA8B5F82464D4FFE1
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 04 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CECCE59C28FE49CAA9BA
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 05 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A11B80782CDD2DCB01BF
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 06 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1DB56172982EECC4FD0E
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 07 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B41E2F722EAB45023139
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 08 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5F47504147D4FDAA2CA
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 09 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/92B3A9C4B027B3075AF0
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 10 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46EE8B54B07C4937EC69
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 11 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37F054B625BB6E3A8633
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 12 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6BDCDE68EC641957DCCA
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 13 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A965B245DD6ED28FD028
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 14 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23E6E75644FF74BE6E8A
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 15 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94E69867785E01000E8A
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 16 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4F98C0B1BE39F156A012
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 17 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27257FE1B28A59ED1F9E
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 18 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F19DD25E85DB5405E2BE
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 19 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3040DB65A5C78AFAE373
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 20 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1494FE08A129BC447D1
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 21 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/181B41CF10AB1A2ECD4F
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 22 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AFB939FEBCF5EC64CB0C
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 23 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C96F957981A82344A048
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 24 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77FBFD23821B3D1DB564
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD NEGERI 25 SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/91FC676F5F6AAF78432F
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SD USABA SEPOTONG SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E21A07C6E7F4DDC5A4D
Prov. Kalimantan Barat,Kab. Ketapang,Kec. Sungai Laur,SDS PRAKARTI KENJAING SUNGAI LAUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4E779146B0B5B8846B3
