provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 1 GEMBLEGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE6F223DFDC9104EFFE2
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 1 JIMBUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5FA84B58D26178236BE5
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 1 JOGOSETRAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AE8D16DC370E311F2DBA
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 1 KALIKOTES,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B38732922B67303F1B4
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 1 KRAJAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A9FD12422FF80B1719CA
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 1 NGEMPLAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51C9A9DBF2CD5094AC4E
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 1 TAMBONGWETAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4A695C663097BB97B3C3
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 2 GEMBLEGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF50A1DD456B78FF755F
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 2 JIMBUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4C2724FDFB99664BD2CC
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 2 JOGOSETRAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B80B323D49A77DB62BBB
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 2 KALIKOTES,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/96DD9FFC3C7CAFCAE38E
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 2 KRAJAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC94105E43811EA54D63
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 2 NGEMPLAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8B3344D7348E1FDCD9B7
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 2 TAMBONGWETAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DBCA59B85F1875AED2D
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 3 GEMBLEGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DEEDD653AEEEA7BB6467
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 3 JIMBUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0205B24D8C2133EEDF75
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 3 JOGOSETRAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23DAF23A2B9E4F4D82B2
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 3 KALIKOTES,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE4B0D2C01F606A7BA9C
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 4 JIMBUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B61B695B8338657CD6E2
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 5 JIMBUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1E21B9CF3FE5E03EF1B6
Prov. Jawa Tengah,Kab. Klaten,Kec. Kalikotes,SD NEGERI 6 JIMBUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/03B2A8712ECE3F1E8635
