provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 1 BLANCERAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1DBA516C583B4B9D7B90
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 1 BRANGKAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DB88EBD55A28F6E3C0FD
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 1 GEMPOL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7438A7D7CA5A338FE284
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 1 JAMBEYAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D7118B82637417C2228
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 1 JUNGKARE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A172708422963543C142
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 1 JURANGJERO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44E82D371966A1143C5C
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 1 KADIREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/611627D98E7C78B25680
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 1 KUNDEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D84DE0ADE83A0AED874B
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 1 PADAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1FC4120709169B505A99
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 1 SOROPATEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51636201BC2EA6FE2E6F
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 1 TROSO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F75A82A808774478CC55
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 2 BRANGKAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/67892BE9AD5452902E13
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 2 GLEDEG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF0749DCA82F1C8B562E
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 2 JAMBEYAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/72C30B42BDC9787197B4
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 2 JURANGJERO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0837E54C8AB396C0FCC
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 2 KARANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DB5A1E65349D7457E8F0
Prov. Jawa Tengah,Kab. Klaten,Kec. Karanganom,SD NEGERI 2 KARANGANOM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/552AA9F2DBDF7B5A93B1
