provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Tenggara,Kab. Kolaka Timur,KEC. POLI-POLIA,SD NEGERI 1 ANDOWENGGA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D4D8FE19934ADED37143
Prov. Sulawesi Tenggara,Kab. Kolaka Timur,KEC. POLI-POLIA,SD NEGERI 1 HAKAMBOLOLI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F43499F46FA70E55688
Prov. Sulawesi Tenggara,Kab. Kolaka Timur,KEC. POLI-POLIA,SD NEGERI 1 PANGI-PANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D357759346FD8E6B3EC
Prov. Sulawesi Tenggara,Kab. Kolaka Timur,KEC. POLI-POLIA,SD NEGERI 1 POLENGA JAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0E57D7A7975A19781A9
Prov. Sulawesi Tenggara,Kab. Kolaka Timur,KEC. POLI-POLIA,SD NEGERI 1 POLI-POLIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E65A95804B2E57076A2
Prov. Sulawesi Tenggara,Kab. Kolaka Timur,KEC. POLI-POLIA,SD NEGERI 1 PUUNOKULLO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/74A9F22E99FE94E05E40
Prov. Sulawesi Tenggara,Kab. Kolaka Timur,KEC. POLI-POLIA,SD NEGERI 1 TOKAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/35F59C2FD5C7067B9AE1
Prov. Sulawesi Tenggara,Kab. Kolaka Timur,KEC. POLI-POLIA,SD NEGERI 1 WIA WIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/96B6504D4D7866A43E20
Prov. Sulawesi Tenggara,Kab. Kolaka Timur,KEC. POLI-POLIA,SD NEGERI 1 WINDUBITE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/610E0EB2A41CF420FA67
Prov. Sulawesi Tenggara,Kab. Kolaka Timur,KEC. POLI-POLIA,SD NEGERI 2 POLI-POLIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B85AB52A0E33D88431F5
Prov. Sulawesi Tenggara,Kab. Kolaka Timur,KEC. POLI-POLIA,SD NEGERI 2 WIA-WIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/231843903400F69BCCE0
Prov. Sulawesi Tenggara,Kab. Kolaka Timur,KEC. POLI-POLIA,SD NEGERI 3 POLI-POLIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/378EFC06FFF5040CDFF6
