provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Lainea,SD NEGERI 1 LAINEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3933E885E753B8ACAC2D
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Lainea,SD NEGERI 10 LAINEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B03BAB8FEDEE2E576BD7
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Lainea,SD NEGERI 2 LAINEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F30EF766647EE728F7C8
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Lainea,SD NEGERI 3 LAINEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49A43A13DC0D3B2A76FE
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Lainea,SD NEGERI 4 LAINEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9037ACD08977254EBBCC
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Lainea,SD NEGERI 5 LAINEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7012240731A5619E7AE
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Lainea,SD NEGERI 6 LAINEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A891D5A5C7D6EC71194
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Lainea,SD NEGERI 7 LAINEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/358482ECB0BC0733E542
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Lainea,SD NEGERI 8 LAINEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FD749C9EF330B187A621
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Lainea,SD NEGERI 9 LAINEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4103EA873CDF63B886F1
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Lainea,SD NEGERI SATU ATAP 14 KONAWE SELATAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FD08CDB292205E9D6579
Prov. Sulawesi Tenggara,Kab. Konawe Selatan,Kec. Lainea,SD NEGERI SATU ATAP 5 KONAWE SELATAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A5EC72FE2B52358C92CA
