provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Tenggara,Kab. Konawe,Kec. Padangguni,SD NEGERI 1 ALOSIKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/34E4D0236E72FAD2AB04
Prov. Sulawesi Tenggara,Kab. Konawe,Kec. Padangguni,SD NEGERI 1 PADANGGUNI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D542AD8EFCB259755370
Prov. Sulawesi Tenggara,Kab. Konawe,Kec. Padangguni,SD NEGERI 1 SAMBAOSU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9AB7DE76F4B227B70940
Prov. Sulawesi Tenggara,Kab. Konawe,Kec. Padangguni,SD NEGERI 1 TOROTAMBI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5ACEB9EB89AB260ABCF6
Prov. Sulawesi Tenggara,Kab. Konawe,Kec. Padangguni,SD NEGERI 2 ALOSIKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/820F795C08E288102CA9
Prov. Sulawesi Tenggara,Kab. Konawe,Kec. Padangguni,SD NEGERI 2 PADANGGUNI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/193FD2C844D8E83ECC73
Prov. Sulawesi Tenggara,Kab. Konawe,Kec. Padangguni,SD NEGERI 2 SAMBAOSU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/022A466C2AFE478C4EF8
Prov. Sulawesi Tenggara,Kab. Konawe,Kec. Padangguni,SD NEGERI 2 TOROTAMBI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/72E6B297AE32BD3CC89A
Prov. Sulawesi Tenggara,Kab. Konawe,Kec. Padangguni,SD NEGERI ATODOPI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AF699F903061793F2E92
Prov. Sulawesi Tenggara,Kab. Konawe,Kec. Padangguni,SD NEGERI MATANGGORAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8358D87706C468528481
