provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SD NEGERI 1 BUKIT MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/940CE31F3C944DE64981
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SD NEGERI 1 CEMPAKA PUTIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D469AF5F65B3F7615D5
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SD NEGERI 1 JATI WARINGIN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC1F926F3F2C27E2026A
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SD NEGERI 1 LUWUK SAMPUN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2FE94E6D230CCEF6A02C
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SD NEGERI 1 MEKAR SARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A1FD002ADE602418BCC
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SD NEGERI 1 MERAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F10B9FD56E78243D3D5
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SD NEGERI 1 SEBUNGSU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D3A044BA326E98C2CA3
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SD NEGERI 1 TANJUNG JORONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4BA62EB32AFE1C33DE5
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SD NEGERI 1 TUMBANG MUJAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C0BEC57D653C94F1B3E1
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SD NEGERI DAMAR MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/253A5332EC471CB30FCB
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SD NEGERI WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1FD929074E6D50E2B43E
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SDBUMI HUTAN LESTARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2ABC3015976CFD7A3644
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SDS 06 BEST AGRO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8418182679593B28655
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SDS 07 BEST AGRO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/03D038FA959A58AB89A6
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SDS 08 BEST AGRO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/301448695B24A3D6BC08
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SDS TUNAS AGRO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CDB98700E8DEA347CA6
Prov. Kalimantan Tengah,Kab. Kotawaringin Timur,Kec. Tualan Hulu,SDS TUNAS JAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/19EB26F2EBFB238B8396
