provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI 1 CIBUNTU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D9314BD6AEDD687BAAB
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI 1 KARANGMUNCANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4B7F341EDE9352B208E
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI 1 KOREAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FCF7EBF2580D67D7680B
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI 1 PANAWUAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/807D8A7DED39560146AC
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI 2 CIBUNTU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/45E41499246434CF4F4A
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI 2 KARANGMUNCANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B165BDCAFD953898F1C
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI 2 KOREAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E18EEEF7D8535641FB4B
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI 2 PANAWUAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/115EF0AE2A5958C6ED44
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI BABAKANJATI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4C8D3DD2EC948D86FF2C
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI BUNIGEULIS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DDE87AF19EBAFC9015BB
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI INDAPATRA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4195D196DAD395CDEFD7
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI JAMBUGEULIS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/39B4F7D293B77B1D96DB
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI SANGKANMULYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4D5A7F45E89AA5C14086
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI SANGKANURIP,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4014248C27E9B372087
Prov. Jawa Barat,Kab. Kuningan,Kec. Cigandamekar,SD NEGERI TIMBANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7A8B8885FCDEF80890FA
