provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD INPRES BOKONG 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF50D4B0AA327B661BCE
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD INPRES KIUPAKES,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C5B445E689327EC2B9D5
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD INPRES NAIBATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C4522ADF05F3811015C5
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD INPRES NEFONEKE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/417CBA72865B849C0C79
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD INPRES NIMAF,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2109076EB3C966D39BA0
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI AJAOBONET,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1627622002C7C02F423B
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI BENU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5337EC9C11FB2FE6A85D
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI BIJAESAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F640348964E15BE224D
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI BOINTUKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA5F08C67D34C33A3206
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI BOKONG 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7EBE0BA070ADB155FEEE
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI BUILULAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B154630E1F76000C253C
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI BUNI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E2792123F30B0E154CC9
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI FATUTETA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D35496DC412C61FE443B
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI HAPIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BFE310F581901DBB5E44
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI HUEBUNIF,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F2FA91ECF0528EEE1374
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI HUEKNUTU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AA1E733DDAD99BE9DBED
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI KIUONI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE3916868E828BAE5CF5
Prov. Nusa Tenggara Timur,Kab. Kupang,Kec. Takari,SD NEGERI KUAFEU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4CB43CE87554C9231EC7
