provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD N 118438 TANJUNG MARULAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EEB2FA9302B0BECD0C4B
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD N 118439 BANYUMAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B0F55C47AC4E759FE29
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 112246 LANGGAPAYUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F41C69E82AEC14C96430
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 112247 HUTAGODANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3EA40DCECEAFB099CE33
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 112248 SAMPEAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E41721FC8ABE3EA8BBA4
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 112250 PARIMBURAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/53501652E4E5F245F4CF
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 112251 MARSONJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BCA621936818A4FF2DC0
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 112252 TAPIAN NADENGGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97D9E084A0A0FB6DE198
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 112253 SIBADAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/007F3173190449B5F256
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 112254 AEK KORSIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F60877DF4A0EEF1658E
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 112255 AEK GAMBIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/096354E02082FD8B7960
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 112256 SABUNGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/217F76C38129F8E6616D
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 112257 BATANG GOGAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2653D391DA642E0028E6
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 112258 LANGGAPAYUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0442D3E02C4A6C2DAF12
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 114363 LANGGAPAYUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4FE2B62A709057A5782F
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 114364 SABUNGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C5D82AAF2C703E4C09F6
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 114365 HUTAGODANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F86EA54DFCFAB1826136
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 115503 AEK TINGA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/53D8D5816F71E6696313
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 115504 SAMPEAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F80D8C9618E091970FD3
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 115505 UJUNG LOMBANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B97D68DC1491376625E
Prov. Sumatera Utara,Kab. Labuhan Batu Selatan,Kec. Sungai Kanan,SD NEGERI 116254 RANTO JIOR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C5EFDD7A91D075A15FE6
