provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 BANGUNREJO KEC. GUNUNG SUGIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C4F34A263E38104B0706
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 BUYUT ILIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D01C275E198EFCB2499
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 BUYUT UDIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43386BF1B3AE1904AD41
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 BUYUT UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/702DB695960174BE9221
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 FAJAR BULAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B25061E2B05AE460232A
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 GUNUNG SARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5E9D5B7143119C489DC1
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 GUNUNG SUGIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B2E1EB9299E26B74FB0
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 GUNUNG SUGIH PASAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8C306F35936D259D33A
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 KOMERING AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F173903EFBA1722C401F
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 KOMERING PUTIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/04B0820631DD4BFD0321
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 PUTRA BUYUT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D13FDB0BA726EA99AF14
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 SEPUTIH JAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/25DD3FFFF7B1D25BCA93
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 1 TERBANGGI SUBING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8374A985631148D2E523
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 BANGUN REJO GUNUNG SUGIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A98A697E953BB9B94E63
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 BUYUT ILIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5D37752CF9716A67BA7
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 BUYUT UDIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED6D123C0DC13EA32BD9
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 BUYUT UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A33BBF4F6841E4578062
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 FAJAR BULAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/390474277AC6CA77DD85
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 GUNUNG SARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C24EE924D13ED7ED6292
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 GUNUNG SUGIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BFD036F04E358BB89701
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 GUNUNG SUGIH PASAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC8E7A124DAE459DE51D
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 KOMERING AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/444294E60F90D409E143
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 KOMERING PUTIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/536EA1C01CC23DECB7C2
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 PUTRA BUYUT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E489D5A93CE2E0415D44
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 SEPUTIH JAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6224B1B755A1C26EC99
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 2 TERBANGGI SUBING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E557C8AC9B508FF7638D
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 3 BUYUT ILIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/03A4A1FDD50BE273A936
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 3 BUYUT UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/993323450E91DFDB51B1
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 3 FAJAR BULAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1B82E0431278881C1977
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 3 GUNUNG SUGIH PASAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/855206B07D54162F8B06
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 3 KOMERING PUTIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D0A677A40AE40A9891AC
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI 3 TERBANGGI SUBING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0DD60ACA5B4032158BC
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI TERBANGGI AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2AEA78FA07A0019BAB08
Prov. Lampung,Kab. Lampung Tengah,Kec. Gunung Sugih,SD NEGERI WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F69C7DAAB85BDE44F0F
