provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 050616 NAMU UKUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5E1CB31E5182DF770110
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 050621 NAMU TERASI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C61EA0B2CB58B2905F45
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 050622 SINGGAH MATA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BB044B8BE82CF4EF53D9
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 050623 PERTUKUKEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C00B68736C259B93F4A
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 050624 SANGGA PURA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F3B7A6B5F880949EAF76
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 050625 RUMAH GALUH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A149738AF28F173C1E4C
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 050627 PURWO BINANGUN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DEF100BDAF9D5EBCDA8A
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 053966 SIMPANG KUTA BULUH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E0E1CD45D1E79550423
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 053967 DURIAN LINGGA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B2DD233EF29CF3D879DB
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 054884 TANJUNG GUNUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/306048C8F3897A570EDC
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 054886 SP.YON LINUD 100,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5028B246DD882AAA9034
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 054887 SANGGA PURA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D09148EE7113A7123307
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 055987 ASRAMA LINUD,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF2A01CAA34709BEED6B
Prov. Sumatera Utara,Kab. Langkat,Kec. Sei Bingai,SD NEGERI 055988 GUNUNG AMBAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/133F5332D1B1A7E85198
