provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 050610 TANJUNG KERIAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A53D3E35982A11FB5AF8
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 050611 AMAN DAMAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5172A23631A194863FF5
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 050634 SERAPIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E5C670E2457C52B1D2E
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 050635 TANJUNG NGUDA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8969DA65617A190022A3
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 053955 PAYA SALIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9815ACBA81C6E1BC0E5B
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 054881 SUKA PULUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F58C0849C066440B084
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 054890 TANJUNG BARU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9300C657594084125645
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 054899 TANJUNG PUTRI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6CD2A210E8ABB3C2DDF8
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 055972 GUNUNG TINGGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8A54F60BDE26AB280C0
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 055980 AMAN DAMAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49C0952D4E4516E4C18F
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 056586 KUTA MALE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D2A1E7762DD97D665C12
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 056589 TANJUNG SELAMAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A708BB76AC7546FEF62A
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 056591 SIDO REJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DFD0A1E2F09BB2B9AC9
Prov. Sumatera Utara,Kab. Langkat,Kec. Serapit,SD NEGERI 058101 SUMBER JAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36F5A09DFF4ADF045F83
