provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 CIBEBER,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7686CCE002F306D6DE3B
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 CIHAMBALI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/300F59C33CC6269467AB
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 CIHERANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65DFC4F359B4A500C7A0
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 CIKADU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/74355E950EA249339AA1
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 CIKOTOK ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E1F99A3F1E7576821C7E
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 CISUNGSANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4813CEC2388DBCA39AF8
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 CITOREK BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9DFFB1CA52612248314F
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 CITOREK KIDUL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/75B50FF47E751E73A956
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 CITOREK SABRANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/58DD2105114221BCB1EF
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 CITOREK TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A5A295851899CC213CDE
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 GUNUNGWANGUN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4C5BA9FAA95089128FE4
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 HEGARMANAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/53E55C5116279AF4B714
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 KUJANGJAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2E7F643D0869569227A8
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 KUJANGSARI ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E9FFF834B2185EB0C7D4
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 MEKARSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/034D1D9B0381AC27EEA9
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 NEGLASARI ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2E08929C06EF13B7AD3F
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 SINARGALIH ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E39F3BF30755C033A41D
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 SITUMULYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6545093DB731ADD664AF
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 SUKAMULYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48CDCB992BD786E47E88
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 WANASARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F941962C25197EA4FBBA
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 1 WARUNGBANTEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A750389C5CF4BD156B53
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 2 CIBEBER,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/324828B6AD2D5751FBC4
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 2 CIHAMBALI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AFE8004B25FCB4545FF0
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 2 CIHERANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/577F5471D4170DD36BC9
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 2 CIKADU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5714490ACD39AF74EF31
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 2 CIKOTOK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1E47E5E59DBAC4E8F0CA
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 2 CISUNGSANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3DA5D57F5E37568D05C4
Prov. Banten,Kab. Lebak,Kec. Cibeber,SDN 2 CITOREK BARAT ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/01845544A1650F6047E3
