provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD N 1 LAJUT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20D55F4CC557BEF6C317
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD N 1 SANGGENG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B13EF2A1AA655B9E9FEB
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 1 BATUNYALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/973858C6C8084E1A09AA
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 1 JONTLAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A638EAD5333088F3E230
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 1 JURANG JALER,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD0464916C7105465FD4
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 1 LELONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CFFED463B894B33F7876
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 1 LENDANG KUNYIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/92D6F967938CD43A2C28
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 1 PEJANGGIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B0B575C330C51BA3FB2
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 1 PENGADANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/132A532528EF7A03DEE9
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 2 BATUNYALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4FB03F7F9D16467B323D
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD Negeri 2 Beraim,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D535316E0DB3C4A6C4CB
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 2 JONTLAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3AA1414F9E5E2447A9D7
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 2 JURANG JALER,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E9AD2028B340B8C56AF9
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 2 LELONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43CD8AA5311852123DBC
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 2 LENDANG KUNYIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D56DF01A48B2C41591F7
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 2 PEJANGGIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/11FBD9B8165D874521DF
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 2 PENGADANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F868DFCB9A2BE80DB81
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 2 SANGGENG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8DB8E72E6F93118FF584
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 3 BATUNYALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65A9E5D4C482E7F845CD
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 3 BERAIM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE6B12CED5258EF46218
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 3 PEJANGGIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/04AC1FBA06A7AC5D9869
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI 9 PRAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5E5B58890F374EE50DEB
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI DAKUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23400F31B625D90D49FE
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI EMBUNG BELEK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D9363963EC1115E371C
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI GERANTUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5912D7975AF23F17C461
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI GERENENG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6C0AB3A3821CCB02B3F9
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI GUNTUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/868C03343CA383FC24D6
Prov. Nusa Tenggara Barat,Kab. Lombok Tengah,Kec. Praya Tengah,SD NEGERI JORONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0922C62E5086ACF0A351
