provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI DADAPAN 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B6FE6F35AD453336C4F
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI DADAPAN 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5710460D6BB8A2D5D38B
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI GUCIALIT 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F78B6141289D9F1DFA4F
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI GUCIALIT 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2957474098475D76B67C
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI GUCIALIT 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E021B2C95D405D19503E
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI GUCIALIT 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6943D5EFAD4B65F47D7E
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI JERUK 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED78553A3E556B62D01B
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI JERUK 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/876FFBB0154A3C103ADA
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI JERUK 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6E66B53AEBB4747C2C5
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI KENONGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4B86015811F654047B7
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI KERTOWONO 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/19EB81A910CF92815890
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI KERTOWONO 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/66517ECBEC3F1AC72914
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI KERTOWONO 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D570905C3D4D4C881B90
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI KERTOWONO 06,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC480CC43A9BA614E31D
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI PAKEL 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/98ACA183257F107AFEC8
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI SOMBO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/25F9DB96D10D7129FF58
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SD NEGERI WONOKERTO 03 GUCIALIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A8DC8169B3B2857A377
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SDN TUNJUNG 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9736AEA6B823E0B68BCC
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SDN TUNJUNG 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8FF1135A53C7EFDB0E1A
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SDN WONOKERTO 01 GUCIALIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B024F69A0DDB91AE6A2C
Prov. Jawa Timur,Kab. Lumajang,Kec. Gucialit,SDN WONOKERTO 02 GUCIALIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E2AFAC95875CF010995D
