provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N BANJARSARI WETAN 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/092DDD645CC44BD29B9E
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N BANJARSARI WETAN 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD4BFFBE2F82AE34C34F
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N DAGANGAN 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C3786B675DE83524F194
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N JOHO 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D70F5ABCE9FA4CB3FD41
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N KEPET 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/73142948766BFEE83727
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N KEPET 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/01CA77283ECD4212B6CA
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N KETANDAN 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABB7D373E8FDEE11DCD7
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N MENDAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65D859D7C395A4F44ED3
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N MRUWAK 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A799633113EA216AD2E
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N NGRANGET,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B3718DD3361A823F54FD
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N PADAS 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9686455BC96025064BCF
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N PADAS 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E137EF428BB020C8A684
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N PRAMBON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B93DFDC87EDD0EF8EFD
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N SEGULUNG 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/93FB6AF826AA0692629F
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N SEGULUNG 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD2DCBD39A7AF79B85A9
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N SEGULUNG 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F782530AC58528A67BB
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N SEGULUNG 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/459CA358E685902C57CD
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N SEGULUNG 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AE496433025F514733BE
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N SUKOSARI 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/11B85944410C15DE4305
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N SUKOSARI 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC8A908B48861E2F7462
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD N TILENG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/95B0FD236E25055668EA
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD NEGERI BANJAREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/35C1DA7B98DB63BB528A
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD NEGERI KETANDAN 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1D5A4E2B115F48ABEA98
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SD NEGERI SEWULAN 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E431D482B764791AAD0F
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SDN BANJARSARI KULON 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1847AC69C9C4E11D3C08
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SDN BANJARSARI KULON 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3FE3404768B71C5EEB71
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SDN Dagangan 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/26A3E9EA958D383513DA
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SDN JETIS 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8D64B80AC710AFD90A3
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SDN JOHO 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D921622268B2D142BD8
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SDN MRUWAK 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6C2A666AB0EC1B031B82
Prov. Jawa Timur,Kab. Madiun,Kec. Dagangan,SDN MRUWAK 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8BB5354C9013B08260A
