provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI BANYUSIDI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6128FEDFE2C3B832D8F6
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI BAWANG 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40CC4B23A2EF0F5F6076
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI DALEMAN KIDUL 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48E8E5B67E7895190782
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI DALEMAN KIDUL 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E38819F79FE95BDF5FF
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI DASEH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF777D43A1EECF048A49
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI GEJAGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1DB06E4F5B19F5EA572
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI GEJAYAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB741694513B0677AD07
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI GONDANGSARI 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/947F8DD68CD8EB3F7D86
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI GUMELEM 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/212B8E68E2ECB9D854B6
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI JAMBEWANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F887422E2FE5AFC7A78C
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI KAPONAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A668D98EFE69D5DE0911
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI KENALAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA00F37AB4655699ABA2
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI KETUNDAN 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB66E91159446E341ABC
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI KETUNDAN 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/26ED0C20E444838D828E
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI KRAGILAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/74D036ED44A57EE21186
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI KRASAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68CED270CA8CABEB27EA
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI MUNENG 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21F01E277F19F4181403
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI PAKIS 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6CFFC0F0ABED7B14A1EF
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI PETUNG 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7CAA70D8F575EED6116B
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI PETUNG 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8FA1712524D513C021C
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI POGALAN 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5195D6E4FA4DEC8290B7
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI POGALAN 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/64D143BFE9A6F47C5335
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI REJOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFA8679AFEC60A00E436
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI SEKAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C5DFDDFDE62F77C7362
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI SOBOWONO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/928E6432A04421FD8F29
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI WARANGAN 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E279F1D8E52012EF5462
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI WARANGAN 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D534D50CDD4CA4209D20
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SD NEGERI WIROPATI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FBCCDEC2B91EAD9D1772
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SDN KAJANGKOSO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/79E8F0BDD7DCFD0040C9
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SDN LOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/805B981178EC0D72402E
Prov. Jawa Tengah,Kab. Magelang,Kec. Pakis,SDIT JAMIYATUL IHSAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13F529F4565DD80BE594
