provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Barat,Kab. Majalengka,Kec. Sindang,SD NEGERI BAYUREJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/927CA52709A512459F43
Prov. Jawa Barat,Kab. Majalengka,Kec. Sindang,SD NEGERI GARAWASTU I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0ECA90B6B2FABCFF2762
Prov. Jawa Barat,Kab. Majalengka,Kec. Sindang,SD NEGERI GARAWASTU II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C6763F50C0A5C3F960A9
Prov. Jawa Barat,Kab. Majalengka,Kec. Sindang,SD NEGERI GUNUNGKUNING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DB4C4C78F6B93141336D
Prov. Jawa Barat,Kab. Majalengka,Kec. Sindang,SD NEGERI INDRAKILA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F5CC002E163914467D1A
Prov. Jawa Barat,Kab. Majalengka,Kec. Sindang,SD NEGERI PASIRAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CBF49F1478F267AABDF3
Prov. Jawa Barat,Kab. Majalengka,Kec. Sindang,SD NEGERI SANGKANHURIP I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/41821060482A0B40221B
Prov. Jawa Barat,Kab. Majalengka,Kec. Sindang,SD NEGERI SANGKANHURIP II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF7CF193CA5A0386C791
Prov. Jawa Barat,Kab. Majalengka,Kec. Sindang,SD NEGERI SINDANG I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8EC70DA601B6AD0A364
Prov. Jawa Barat,Kab. Majalengka,Kec. Sindang,SD NEGERI SINDANG II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/491CD9D83100ADB8F6AE
Prov. Jawa Barat,Kab. Majalengka,Kec. Sindang,SD NEGERI SINDANG III,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/17599228DF0122FC708D
