provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 1 BULULAWANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8AA0CBD2A114134F0E49
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 1 KREBET,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CAC5DA44B90EA112856F
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 1 KREBET SENGGRONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6191348A42DC76EF6F04
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 1 SUDIMORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C7392380A198176C31F
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 1 WANDANPURO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/35C78567FF903366112B
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 2 BAKALAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B3242B66467D19B99EA
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 2 BULULAWANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E07EA37428096E2125AB
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 2 KASEMBON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B62DE92205180D70F2F8
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 2 KASRI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DEEEE7F979C659502688
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 2 KREBET SENGGRONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/142AE9422CF621BBB1F8
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 2 LUMBANGSARI ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4396DE239FD449C5842
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 2 SUDIMORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9C0ED9834DAA5E033F49
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 2 WANDANPURO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B77B6907B65FC2B9ADD
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 3 KREBET,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7526934A2A835611394
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 3 LUMBANGSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C0B2FE2F54AB59E84CA2
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 3 SUDIMORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E5E8B37B88FE12765F91
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI 4 WANDANPURO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBA8CB95EA509BC96E43
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI GADING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D52E7866662E724825D
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI KUWOLU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/57AF63A975F80C6CAD53
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI PRINGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/937F9A2FCBA60AB825D8
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI SEMPALWADAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED89AD62A48B4C61D11F
Prov. Jawa Timur,Kab. Malang,Kec. Bululawang,SD NEGERI SUKONOLO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A2FF8482197AC35CDB9
