provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Malang,Kec. Sumberpucung,SD NEGERI 1 JATIGUWI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B36667C4C6E678C52429
Prov. Jawa Timur,Kab. Malang,Kec. Sumberpucung,SD NEGERI 1 NGEBRUK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C6449B51C55E40EECC28
Prov. Jawa Timur,Kab. Malang,Kec. Sumberpucung,SD NEGERI 1 SAMBIGEDE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/028EA87BB222FE47409F
Prov. Jawa Timur,Kab. Malang,Kec. Sumberpucung,SD NEGERI 1 SENGGRENG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF8602A19561414ACBA6
Prov. Jawa Timur,Kab. Malang,Kec. Sumberpucung,SD NEGERI 1 TERNYANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/263C26D9A0C1748DE2CE
Prov. Jawa Timur,Kab. Malang,Kec. Sumberpucung,SD NEGERI 11 SUMBERPUCUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC9BF70DC9C363CC2B27
Prov. Jawa Timur,Kab. Malang,Kec. Sumberpucung,SD NEGERI 12 SUMBERPUCUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/57C053BAE8E4FB108098
Prov. Jawa Timur,Kab. Malang,Kec. Sumberpucung,SD NEGERI 2 JATIGUWI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/958C78477E3F3A79D8AA
Prov. Jawa Timur,Kab. Malang,Kec. Sumberpucung,SD NEGERI 2 SAMBIGEDE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F52511EAD3D1364A1673
Prov. Jawa Timur,Kab. Malang,Kec. Sumberpucung,SD NEGERI 2 SUMBERPUCUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/567C8A5B5E8503FAFE5B
