provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD INPRES SINAIRUSI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/14549E1770FCD42066A6
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD INPRES TELA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/81AC7CFD8420CC8BA969
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD NEGERI 1 TEPA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/172003328CF4D8D91467
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD NEGERI 2 INPRES TEPA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8073CEF84715FDC6853C
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD NEGERI LEWAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/64C6BA667E38A27B015C
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD NEGERI MANUWUI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5C6D1B38233DE64409F9
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD NEGERI MASBUAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F832EAFC4B3F4FC229B1
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD NEGERI WATRUPUN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABD04A0F2EC19A1D7FB6
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD KRISTEN HERTUTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/632DCCFFF0ABF3908C8F
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD KRISTEN IMROING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DDD1CAC52AECF9398985
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD KRISTEN LETZIARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0030E223A803A49B4E28
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD KRISTEN TELA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6C0216BBFB784A35E01B
Prov. Maluku,Kab. Maluku Barat Daya,Kec. Pulau-pulau Babar,SD KRISTEN YALTUBUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F31558430B32EB8DC140
