provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES BAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55B761BE54BFC3A1C234
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES BENTENG SIPI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/477C869B6CD5A1935D73
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES DERUK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD66B03220570833F6FA
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES DUJUK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B77778289537DA1BDAF
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES GISING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2AF7CF973CB0186B458E
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES KEJEK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0EEB9695095C8021A059
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES LEWURLA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69D7E8D403E505D13474
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES NDANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4AC2052AF4E816A23A15
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES NEKO PADU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABBE68E20AC502F2FC52
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES RATALAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/264E3C205E6489EB30A3
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES SOPANG RAJONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFC4859F8A0CA8E6FE45
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES TOANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7215974E16425F2687CA
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES WAE MAMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FAA217E10012F3C29E3
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD INPRES WIRUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7528E7120E89A0E99CB4
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD NEGERI WELA LOKON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/25412BB4B66BE60F7D68
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SD NEGERI WELA PANDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BBF4A13BA2E6A4E66C4A
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDI KIGIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4CBAD326CB3AECE8377
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDN LEKO NEKO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DADDD7BD3BB6B1AD234B
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDN Leko Tong,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65AE2414F8A79D7EBEA7
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDN Likan Telu,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FEB96CC667B3EBDF551
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDN Nanga Waru,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0599F659454FD0874006
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDN Pales,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9C237C6DDD6BF606BA29
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDN Sopang Sesur,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97F81C8975E3386B0E0A
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDN TETES TANAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C8750BDD40DD4DB5670
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDN WARU SODA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/84300551ED3F320DA45B
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDN WOKO LEDU ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BDBDCD1DB74407F4E611
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDK BEBONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2ADBFF7508950434E7F7
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDK LANDO NANGA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A1B5E3D49A4FB5B59C6
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDK LEDALIUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76F7F51550A9EFCD1765
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDK NDAWANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B7676035FEAAF3DE3A2
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDK NEKO LENGOR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EEE646EEDA1562855019
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDK RUNUS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/67A61B147067E2B9BB64
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDK SULIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/52FF1348696FD88D7DD8
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDK TEONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/81606EE19A535F9D8FA9
Prov. Nusa Tenggara Timur,Kab. Manggarai Timur,Kec. Elar Selatan,SDK WATU DOPAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5E7CE9DD558B176256AE
