provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jambi,Kab. Merangin,Kec. Sungai Manau,SD NEGERI 012/VI BUKIT BATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A22457338F4CD87121A9
Prov. Jambi,Kab. Merangin,Kec. Sungai Manau,SD NEGERI 059/VI SUNGAI NILAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0F6446666D3DDB58E12
Prov. Jambi,Kab. Merangin,Kec. Sungai Manau,SD NEGERI 10/VI SUNGAI MANAU I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4AEE467EB2BFFAEEA03
Prov. Jambi,Kab. Merangin,Kec. Sungai Manau,SD NEGERI 130/VI SUNGAI MANAU III,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F684AF51C37FB0D70D9
Prov. Jambi,Kab. Merangin,Kec. Sungai Manau,SD NEGERI 158/VI PALIPAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C6B89A4CD4244F77AC7
Prov. Jambi,Kab. Merangin,Kec. Sungai Manau,SD NEGERI 229/VI SUNGAI MANAU IV,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0CFF974CF68D6D84CC4F
Prov. Jambi,Kab. Merangin,Kec. Sungai Manau,SD NEGERI 236/VI TIANGKO II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A48B7BBC4331F55B08F6
Prov. Jambi,Kab. Merangin,Kec. Sungai Manau,SD NEGERI 57/VI SUNGAI PINANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7E4BED671A0766174CE0
Prov. Jambi,Kab. Merangin,Kec. Sungai Manau,SD NEGERI 78/VI TIANGKO I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F67CD7B3A37317C4496
Prov. Jambi,Kab. Merangin,Kec. Sungai Manau,SD NEGERI 79/VI SERINGAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB5BBED95F2DE3B83496
Prov. Jambi,Kab. Merangin,Kec. Sungai Manau,SD NEGERI 89/VI SUNGAI MANAU II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C05C7741BC2AC46DACA6
Prov. Jambi,Kab. Merangin,Kec. Sungai Manau,SD NEGERI 90 / VI DURIAN LECAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6197985E0481DB79970A
