provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 1 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7A8A2CC7F26158E35F01
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 10 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4FB93F9F05C7332C9A0A
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 11 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D9F16BD7E46D378A124
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 12 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0CA29992767E7F9C0E7B
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 13 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB8921026DB7997CF2CC
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 14 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4299928E9337145463AE
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 15 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/72C39E9263512C307A9C
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 16 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8C84D67E442898A0B9C
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 17 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC96179F411CF624685F
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 18 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A6217EC45DDB0D8D0002
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 19 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ECB3AD521C57788EA2E2
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 2 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DCDAB87D2DD333C68D1E
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 20 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D00E3C2492A945A3159D
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 21 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/81531AD30DDF505A6942
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 22 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0BC6D51B027C0CB95FF2
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 23 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F53A86948C2B0561245
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 24 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/593B818F9A5D0473CDA7
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 25 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3221C6126823BCAEA057
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 26 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F24B55672B0DCC33211
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 27 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6E7F9685FF57AC35D007
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 28 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7EFD4872D1D9F3FD4F21
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 3 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB2C1BD85DB02F16F0CA
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 4 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D5243EFD575DF75E6367
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 5 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/192B754D18E638BB09B0
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 6 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC7C8919088A8DCF18B5
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 7 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9589079AB8B367CC10BD
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 8 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D1BDB56D96234D14510
Prov. Lampung,Kab. Mesuji,Kec. Way Serdang,SD NEGERI 9 WAY SERDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/974C0014CA6CAB4A87EE
