provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Utara,Kab. Minahasa Tenggara,Kec. Tombatu,SD INPRES KALI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37E9727B1CF9B36EB3FE
Prov. Sulawesi Utara,Kab. Minahasa Tenggara,Kec. Tombatu,SD INPRES TOMBATU I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A0B660438E06B7FF9A48
Prov. Sulawesi Utara,Kab. Minahasa Tenggara,Kec. Tombatu,SD NEGERI 2 TOMBATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68C885A384C1FB1EA39F
Prov. Sulawesi Utara,Kab. Minahasa Tenggara,Kec. Tombatu,SD NEGERI I TOMBATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5632616E241A3F79264
Prov. Sulawesi Utara,Kab. Minahasa Tenggara,Kec. Tombatu,SD NEGERI PISA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/199D8222DC81FD499F7C
Prov. Sulawesi Utara,Kab. Minahasa Tenggara,Kec. Tombatu,SD GEREJA PANTEKOSTA KALI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2AFA6287742BE164408D
Prov. Sulawesi Utara,Kab. Minahasa Tenggara,Kec. Tombatu,SD GMIM I TOMBATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/02ADE390328CB8419AFB
Prov. Sulawesi Utara,Kab. Minahasa Tenggara,Kec. Tombatu,SD GMIM KALI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/01D88F803B5A19D30435
Prov. Sulawesi Utara,Kab. Minahasa Tenggara,Kec. Tombatu,SD GMIM TONSAWANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C4CADC2642175D3650C9
Prov. Sulawesi Utara,Kab. Minahasa Tenggara,Kec. Tombatu,SD KATOLIK TOMBATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B2DD7CF4CC8C2CE190A
Prov. Sulawesi Utara,Kab. Minahasa Tenggara,Kec. Tombatu,SDS GP TONSAWANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C3F1303B7FB8AC0C2D3
