provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI 1 ALUE BILIE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5C8D1CF2240953A7FEF2
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI 1 PULO TEUNGOH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF7502A1EA951AA50AD3
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI 2 ALUE BILIE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FCFAEB5E91A0E665DEFF
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI 2 PULO TEUNGOH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D1E934E50170EC3C005A
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI ALUE BEURIYEUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A11F1CAA08A2A35E9311
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI ALUE IE ITAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AF9DD99C3FE9005F0366
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI ALUE RAMBOT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA6BEA064D4304929FBC
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI BUNGA BANGSA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1068A54A460D8E36853
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI GUNONG CUT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9C8D1D07A970FBAC4DDF
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI GUNONG KONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0AB903ABECA8F4CAF9AC
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI KARANG ANYAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE018D39F482A71B4DC7
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI KAYEE UNOE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/228C0E9B789908411EFC
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI KRUENG ALEM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7468B7E4B44444AD949B
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI KRUENG SEUMANYAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7192165841EDEACAE67B
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI KUALA SEUMANYAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/810440439B551E5FE6AA
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI KUTA TRIENG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/398FC9BA2D4057C99D04
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI LAMIE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44345F8FDA53661669F1
Prov. Aceh,Kab. Nagan Raya,Kec. Darul Makmur,SD NEGERI PANTON BAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C5C1438CB9723CC3C47A
