provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SD N 075095 BOROWOSI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C047CA362E34C99A9CF
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SD N 078490 AMBUKHA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C3E31EC645759F01C2A4
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SD NEGERI 071200 ORAHILI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CDA81848E1D454B6B7C7
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SD NEGERI 075094 HILIMAERA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A425C7FEBCF73C66FE9
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SD NEGERI 076101 HILIZARIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A2148BBE63C197526835
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SD NEGERI 076721 MARAO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/966FBDB0499956E8DB66
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SD NEGERI 077312 SONAHANOSE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8EE41950FBD3254F9BB6
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SD NEGERI 078491 HILIWAEBU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD743F751E03E8029560
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SD NEGERI 078515 HILIFAKHE ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9DCC776ECF9C6A45C3E9
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SD NEGERI 078516 SAMBULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2134E7F85F3EDC60972C
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SD NEGERI 078540 LOLOANAA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7ABE135F4EB12635E795
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SD NEGERI NO. 078585 HILIGEWO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FBA250D71EAB29354128
Prov. Sumatera Utara,Kab. Nias Selatan,Kec. Ulunoyo,SDN No 078489 PUNCAK LOLOMATUA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/01B56B032D715F8145C7
