provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 BUMI AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F2212F4BDD054A78A5D
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 BUMI ARJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF6753A598160F51C3A4
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 BUMIARJO MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/959FE96AD096A90BA550
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 CAHYA BUMI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE8B31663237A8F7D682
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 CAHYA MAJU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E1278D3B86ADCED47229
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 CAHYA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/533B6177CADD1334D643
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 CAHYA TANI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/22B1437D6D652E503CD9
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 DABUK REJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A0B8FA12E3A9973501E
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 KEPAHYANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AEA9F0D8C85A523FD63D
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 MEKAR JAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7BACAFE8BB89E56A37F
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 SINDANG SARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F08E2A5A98465BC99DA
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 SUKA MULYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D48B8D105CED019125FB
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 SUMBER AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13DF50CA15ABBB38C0D9
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 SUMBER MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D10791DC6CC9F11DDA32
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 TEBING SULUH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B3A113FA00DB57FD2A7F
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 TUGU AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D33C58A00E60E5F13C65
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 TUGU JAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1886698FA58E73E59F7F
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 TUGUMULYO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F86FECE202A0394B8BF
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 1 TULUNG HARAPAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A20034DA7588A3EE4226
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Lempuing,UPTD SDN 2 CAHYA MAJU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/42FB5CA96ED07893F926
