provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 1 BURNAI TIMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7814214CE03D3E9BED34
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 1 CINTA JAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4FA6E07A56719F9344C2
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 1 PEDAMARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/357C6B35B3FB154DBBE7
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 1 RANGKUI JAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7A97058663E6C6F01E52
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 1 SERINANTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50FBC4D9AF29DCC0CB77
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 1 SUKA DAMAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B19A53F6B0F5113BE182
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 1 SUKAPULIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/56E2247340C01C2662F5
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 1 SUKARAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BBC7A99D28C11BEAA305
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 1 TANJUNG NYIUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA673DA65B481828665E
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 11 PEDAMARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D89C4E4951907053D53
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 2 PEDAMARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0180CB3F4CB022097309
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 2 SERINANTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/855F988EA376BCFF4E28
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 2 SUKAPULIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6EA7D7A71AB24CDB90DC
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 2 SUKARAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9593841CB097C70B292F
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 3 PEDAMARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A977970E9EC629DDBFB
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 4 PEDAMARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D87F02DD2DD8CDA454C6
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 5 PEDAMARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/760747F2ED2840C6CF77
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 6 PEDAMARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51878D32E4180F982D35
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 7 PEDAMARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB8EDD9E1C97C8803438
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 8 PEDAMARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F7BB8EB19A4DED3E050
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,Kec. Pedamaran,UPTD SDN 9 PEDAMARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BCD6EAB32C6DCC608376
