provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 CAHYA NEGERI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F45E93B93CB5BADE0707
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 GUNUNG SUGIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8065DB0FEE9AA0AB1157
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 JAYA MULYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/113D5B1B304EECB87D38
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 KARANG ENDAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/30698E09924758AE577E
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 KARANG NONGKO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5E0E8AA04B610925F162
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 KERUJON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E3F9040D692047DC831F
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 MARGO DADI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1ED728369DFAF1F152FA
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 MARGO REJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5D2FC179DE829E3710D
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 SRI WANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5121D6370B463C7688BA
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 SUKA MULYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B647BB9BEF20BF155BDA
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 TAMAN AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/371A823F3B3B5C25EF21
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 TARAMAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B53498A17EC6EEA49772
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 01 TRIMO HARJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0AF241CAD930E51192A5
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 02 CAHYA NEGERI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/266204DD117FDABE1494
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 02 JAYA MULYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/650DBF5CB2F813AB29B4
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 02 KARANG ENDAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/504ADA8E8B733C10ED28
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 02 SRI WANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A19A4ECF061AF4281313
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 02 TAMAN AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/34DBA4F76039A89E5585
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 02 TARAMAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CFAE0203035F351CC2F8
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 03 KARANG ENDAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/147CD313784382BDD999
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 03 TAMAN AGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/67BE031DF75EFCDA937F
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 03 TARAMAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE0525B57498EAB45A4F
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 04 TARAMAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/53D0538172129C2112D0
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SD NEGERI 04 TRIMO HARJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF71B4D5C659A470C89A
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,Kec. Semendawai Suku III,SDN TAMAN MULYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C647FB14BAB6AA97525
