provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD N 0403 HARANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A0AFE48F0A00C222C23
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0401 PASAR UJUNG BATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/366E1A04F5119C9B5B2B
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0402 HURUNG JILOK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F80BA11E866A3098552
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0404 JANJI RAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A97A14D9F4044362255C
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0405 HAPUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9EE99412F2A50F0B3002
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0406 TIGA SERANGKAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E9C5DDF983C36C51CF34
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0407 MONDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/96F72325500EDD5DEE19
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0408 BATANG SOSA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BEBA7DD41FB8CFEC1B17
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0409 PIONER SIBORNA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC129D801616789F9DF2
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0410 PARAPAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1FB4DFE935D0ED6136A0
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0411 PASAR UJUNG BATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B931833CBCD2A8D247F8
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0412 HAPUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CCF1B8474654ADDCFC21
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0413 AMPOLU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B4BE6D259CF9FCA8C24
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0414 SIBORNA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/93D60F4F8F03352C0BD0
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0415 HUTA RAJA LAMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/585AFD5AFF59C212B0D2
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0416 HAPUNG HUTA BARU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/72880D4D7F5433E0C517
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0417 PASIR JULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D9168AA7DFF29CF8D7B
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0418 AEK TINGA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB157E67921F39299692
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0419 HARANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C061C40AD89FA0178D5
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0420 AER BALE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E4A7B49FFFA171E38D9
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0421 DESPOT MANDIAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9248FCA3B172644AC98A
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0422 BUNUT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/84DE752726CB311B5A95
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD NEGERI 0423 PIR SOSA MONDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44FFC04C7C5125D474C6
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD ISLAM TERPADU MUTIARA HATI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/96456B81C297BCD71C5E
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD ISLAM TERPADU PALAHY,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4038765D5CA272A7A934
Prov. Sumatera Utara,Kab. Padang Lawas,Kec. Sosa,SD SWASTA SUMBER TUNAS ABADI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5FA2BBE88D1934AA10C1
