provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 1 BATUMALANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE255822EA5861C2E32E
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 1 CIMERAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7FEFCB919AD35A03EB8D
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 1 CIPARANTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A4AFCDFA0B1EF0FB21E
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 1 KERTAHARJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48AD3E734820EE2A4052
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 1 KERTAMUKTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1C5DBBC9AFDE8048623F
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 1 LEGOKJAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4A46DF06058577C7505B
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 1 MASAWAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/57BBD7688B4B19876BE7
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 1 MEKARSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/63AB0E6D66AD84839144
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 1 SUKAJAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A2B6A692844A5415969E
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 2 BATUMALANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/360C8422B3181B9C4AC6
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 2 CIMERAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED44372CE958459350A4
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 2 CIPARANTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F9916F67F43659F4FE3
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 2 KERTAMUKTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6321567B0D84735386DE
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 2 LEGOKJAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/519EEC559878FF7AE6E6
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 2 MASAWAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D04DA6A0B45907181B37
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 2 MEKARSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A38E5AD577F66846551
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 3 CIMERAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A214787A36ABA3E57979
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 3 KERTAHARJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E75A14CD265C48A996B
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 3 KERTAMUKTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3AC7F6856F56027160E1
Prov. Jawa Barat,Kab. Pangandaran,KEC. CIMERAK,SD NEGERI 3 LEGOKJAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B3DA82F131B911297616
