provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 01 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B21BF0312840F5D72042
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 02 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/82397F39DB2A6C6A4313
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 03 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/302D4304314E1DF2B87A
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 04 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E1AED3CAA2C4EA445A3E
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 05 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59DB99C4BA50ACC7F106
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 06 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38A0F54023FC6007D9EB
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 07 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A50FDD5F1EDF8716CD28
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 08 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EDCA613CAC5E4C71B4FB
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 09 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1DB8EE7B029D15831F38
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 10 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/112181B88DEC18377C41
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 11 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A948C012C6BD3F8E0293
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 12 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/28773C049FC7472EA96E
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 13 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A507CD55ACD12BDC0E22
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 14 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4DDAF06723344A81549B
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 15 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/250701B8B60F3BC91380
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 16 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A9A7BA941DAA9BA0021
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 17 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F4A302BE239E0F649D8
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 18 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABBC967E85CEB2180814
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 19 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA04CBC89F524A085828
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 20 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69F1BF75238F2595355D
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 21 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE16293A514254369F92
Prov. Sumatera Barat,Kab. Pasaman Barat,Kec. Ranah Batahan,SD N 22 RANAH BATAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4B6CD0497897315FC3F
