provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SD INPRES AKO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E9AAE70DEE42A7FCDE3D
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SD INPRES GUNUNGSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B834A2E2EBB9BCC1CBB6
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SD INPRES SALUMONI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/66BED2B58C2F1423359D
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SD INPRES TANJUNG BABIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99D24ACDAED2AD2EBE53
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SD NEGERI 02 PASANGKAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/87FD490221AF1810BC34
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SDN 01 PASANGKAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FA5EA853D3C2DC01235
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SDN BAMBA APU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2CB30D800176A1B5163D
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SDN BAMBAMONE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DF00F9CF2B99DD9CE2B
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SDN MARAMBEAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/498FF37B8FB8532455D4
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SDN PETUNGGU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F8227DF2A28620F62E5
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SDN SALU BULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BCE8246FF3478C1EF1C7
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SDN SALUNGGADUE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C80E3C25F69CEFBD7B8
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SDN SULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AFA36A6CACC0DF2AC09F
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SDN TARANJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/854C9A4CB3667A5B0C31
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SD BK BAMBA APU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2698BC721F9BF2A396C3
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SD ISLAM TERPADU DARUL HUDA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/64B881DBA4A56952C71C
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SD IT WALADUN SHOLEH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E9A430F99BA8463C5AB
Prov. Sulawesi Barat,Kab. Pasangkayu,Kec. Pasangkayu,SD PT. PASANGKAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B5C64699BF291037A26
