provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD N CEMPALA KUNENG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C3E97F5794B21F61946D
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD N GUCI RUMPONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6813F9E96295F44EC9B2
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD NEGERI 1 BAMBI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CBFB255528E22049ABF3
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD NEGERI 1 LAMPOIH SAKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E157F495463D32F3C6CD
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD NEGERI 2 LAMPOIH SAKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE441B8B687310E9A3C0
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD NEGERI KRUENG DAYAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C547BB4DBBE1BB06941
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD NEGERI KRUENG SEMIDEUN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B343339CF1901F60D087
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD NEGERI MEULEUWEUEK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/942939053FE6A0597D4D
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD NEGERI PINEUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A346C409FFCBA00DB629
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD NEGERI RAMBAYAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1CA8449AD8F763A90C07
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD NEGERI SEUPENG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D21FF1B4A5F6E738A1F
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD NEGERI WAIDO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D270F3D09CF0EF46714
Prov. Aceh,Kab. Pidie,Kec. Peukan Baro,SD SUKMA BANGSA KABUPATEN PIDIE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5562AF4695E82C0276FE
