provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 017 BONRA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD6F9DD2065DF59BA3C5
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 018 BONRA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ACF33AC7957E49BC2756
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 019 MAMBU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D34B1D007F43AD2A649
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 020 GALUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4974A86CD53146938FA
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 021 LENA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/82013200153F4629FA82
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 022 PALLEMBONGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D1049178F662A651D39F
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 023 KAMPUNG BARU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/09E7EE70047B94EF7127
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 024 KAROKE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7FD6FE42E4E657B9FB1
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 025 PUSSUI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1CFCC15FCBE623D8CB5A
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 035 BARU I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E1B604C76F5897846BED
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 041 PUCCADI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/53F725E9851E9DE40248
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 044 PUKKADUNDUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50774B198CE2F9FD96FD
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 046 BARU II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F59348522BFFFEB0A3DC
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 049 LENA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B7164CC1E3F4077D2F07
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 052 MAMBU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D7710525B1F066A59873
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 053 PARIANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4750FE589FF4A2867EAF
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 057 SIRATUANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D25EEA72A4A3FB38AE9E
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 060 MANUMANUKANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B106CD0FD6ADD76CD6D5
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 061 KAKKANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EDC75AC5FF587FDCF552
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 062 PALLEMBONGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A5D15A406B1531124836
Prov. Sulawesi Barat,Kab. Polewali Mandar,Kec. Luyo,SD NEGERI 065 PULILALI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8D5BB9C86F231DFA36D
