provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 1 BANJARKERTA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3CA4C4478EFFFD77A17D
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 1 BRAKAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D15AA8688521DA975B16
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 1 BUARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E91F7CCC3399C7D82898
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 1 BUNGKANEL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A18A191855C2CB63A3AC
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 1 JAMBUDESA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C0444AB4991EEB9556CB
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 1 KABUNDERAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE609F2F54172F4FB1BA
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 1 KALIJARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FBA35441AB30C4DDC4B1
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 1 KALIORI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D31196AF0EF94ADD43A
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 1 KARANGGEDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/826946B3A842C6841A65
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 1 LUMPANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A83E18F3BFC7AF6671B
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 1 MARIBAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C4DBE9DC62252713D4A
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 1 PONJEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D15CD420638FBA522F59
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 2 BANJARKERTA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2315545D0F0838EA062A
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 2 KALIORI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D2AF0294C8E9D041721
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 2 KARANGANYAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E7638509985AB7FCD92F
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD N 2 PONJEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/85EEC179C8174C1A482F
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD NEGERI 1 KARANGANYAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B908825BDE900507EF7
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD NEGERI 2 KALIJARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D58124B4B91DB35BAF35
Prov. Jawa Tengah,Kab. Purbalingga,Kec. Karanganyar,SD NEGERI 2 MARIBAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B00B08BC025CF25D1F7
