provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD N 1 KUTOARJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5CF85D7416202FBBA9A7
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI 1 BAYEM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C3903B44249CC43E32E
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI 1 KATERBAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/063513BE7D0433E310A6
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI 1 PACOR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/96890BA2BB6B33A71AD3
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI 1 SEMAWUNGDALEMAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF6A638E0A4136963CBD
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI 1 WIRUN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/66EA34C84718E16DF53A
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI 2 BAYEM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DB3FA4F7F68D76FD4A4F
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI 2 KATERBAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/052B5CE3AADF51452E55
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI 2 KUTOARJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/738762EBCE8E806848AA
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI 2 PACOR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BBFE159F434D18F1F6AD
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI 2 SEMAWUNGDALEMAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FDF3360C8369DD60D7D3
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI 2 WIRUN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E654A8288B2C3598417E
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI 3 WIRUN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F9578CCF83A55552323A
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI BANDUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5AE2DE027504A974C621
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD Negeri Blimbing Kutoarjo,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/478C2F0311AC49B7F790
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI KALIGESING. KTA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6D88B41CC79C0DCDDF4
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI KARANGREJO. ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44E240107606B2A7A1CD
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI KARANGWULUH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/01B7E2D3DBA959953327
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI KEBONDALEM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF766A62D6C2DDBAB958
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI KEMADU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B2E24A6D00343A68DB91
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI KEPUH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F0C8C137381EE34CD63
Prov. Jawa Tengah,Kab. Purworejo,Kec. Kutoarjo,SD NEGERI KIYANGKONGREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E89E7666C3356C4188C1
