provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 01 SEKURA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6FDBBAA243784B84CCFC
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 02 SEKURA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B40F82DD58C1B243D2B5
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 03 SENGAWANG TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/877DB75ABE4A60B6988F
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 04 SUNGAI BARU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43DA93B5FB9E7AADADA2
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 05 TAMANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C77C7FD2D75A6F541734
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 06 SEBADI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2FD237D05F96CCD5658F
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 07 PIMPINAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/199FB8115F1ACFD8CD42
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 08 TEBING JAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13C36B5087EEBEF3045F
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 09 TELUK KERAMAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/09FBAF962414FD06FD49
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 10 SANGE TEBAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/56CE5D0DEDD8B6E04665
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 11 SANGE KALIAMPUK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7702D3B01B9C6170EB58
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 12 SANGE MANGE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F07F62ADD69710C04E5
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 13 KUBUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/651789A0806135534687
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 14 KARTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D89A0CD62490A368A176
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 15 PERIGI PARIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/818C315A29A4C41A5B32
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 16 SEKURA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/389197EFD2D2E4AD96DC
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 17 PIMPINAN PARIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2949F7B90245092FAAA5
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 18 SANGE DUYUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/619DFC28C6C63A6E73E5
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 19 PEDADA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/79CC465A12D7E665EF6F
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 20 SEKURA BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D336C0AFE4C14DC262B
Prov. Kalimantan Barat,Kab. Sambas,Kec. Teluk Keramat,SDN 21 SEKURA KELUMPANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/849B77902C034C8B9BE1
