provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD N 059VII LUBUK RESAM II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/624591BA735224A3F1F5
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD N 078VII LUBUK RESAM III,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D8F44B1CBC9C7273B59
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD N 084VII KAMPUNG TUJUH III,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2ACA1498F1914CCF7106
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD N 100VII TELUK TIGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BDC33E2BAA0641B824D4
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD N 111VII KAMPUNG TUJUH IV,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F8D91BC6385A45D2CCA
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD N 130/VII KAMPUNG TUJUH V,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B1CFA473B18E8AF606A
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD N 195/VII KAMPUNG TUJUH VII,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F57D5F131F5A21BD70CC
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD NEGERI 077VII KAMPUNG TUJUH II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1306066467285F83A75F
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD NEGERI 145VII LUBUK RESAM IV,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/05E25ECD0E744B299498
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD NEGERI 173VII KAMPUNG TUJUH VI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA3BBA06B246F7591CF6
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD NEGERI 197/VII KAMPUNG TUJUH VIII,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DDF34A577A6F3A844904
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD NEGERI 205/VII TELUK TIGO II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/04EAAE08C619E45C0159
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD NEGERI 31/VII KAMPUNG TUJUH I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2973B8EB634DD654B7A7
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SD No 214/VII KAMPUNG TUJUH IX,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/11CBAF9B548585A721C5
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SDN N0. 17VII LUBUK RESAM I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/704EF5EB206E81F4CB15
Prov. Jambi,Kab. Sarolangun,Kec. Cermin Nan Gedang,SDN N0. 58/VII TELUK RENDAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99F941DD310042F9262C
