provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SD NEGERI 07 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15A523DA0A7ED408E674
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SD NEGERI 09 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2EC6140C79991493CA5F
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SD NEGERI 108 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4432129525F495087A0E
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SD NEGERI 109 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1B3975441B5D00A5B8DB
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SD NEGERI 110 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D66DBA15ECD39F8C7E64
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SD NEGERI 23 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8695C9223E5ACE00FD17
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SD NEGERI 28 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2FACF439BCBD6D6B9A66
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SD NEGERI 34 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7A8D652F877A1AEB852
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SD NEGERI 44 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A62CAE29F4C67DEB1EE
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SD NEGERI 45 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/64AAADF872F657742BF3
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SD NEGERI 60 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10C95E0A617DFA682178
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SD NEGERI 82 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/703B650D29199FD00863
Prov. Bengkulu,Kab. Seluma,Kec. Talo,SDN 181 SELUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F160F799F52419484804
