provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Kairatu Barat,SD INPRES WAIHATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF8D2F60DD5630E295B5
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Kairatu Barat,SD NEGERI 1 KAMAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA12CB831AE0234D95D9
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Kairatu Barat,SD NEGERI SARIHALAWANE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B32389F842FFE2F0F2E5
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Kairatu Barat,SD NEGERI WAIHATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D594E2F29A6B4AC4E97
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Kairatu Barat,SD ALHILAAL KAMAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C233AB3DF3EE118B9CE
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Kairatu Barat,SD KRISTEN 1 KAMAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F0927BCAF4AFAF12407
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Kairatu Barat,SD KRISTEN 2 KAMAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/11FAC6AD9CD49C6C4720
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Kairatu Barat,SD KRISTEN LOHIATALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9398CBA994F3CE21210A
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Kairatu Barat,SD KRISTEN NURUWE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/285F35375A5C44EEE084
Prov. Maluku,Kab. Seram Bagian Barat,Kec. Kairatu Barat,SD KRISTEN WAESAMU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/42CCF9069AE3AD8EE3AD
