provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI BOJONG MENTENG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E7C45D4106C9C447AD88
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI BOJONG PANDAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A84E7037745168EC93E
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI BOJONGKONDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4912A55A74B7A5BBEC35
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI CARINGIN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5396053D7B19C073E1A0
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI CARINGIN PASIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A6A7E2DEFDDC318CB58A
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI CATANG 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E82806DE1FAC49B6BFFC
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI CATANG 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DDD9C243755EC8982FA4
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI CILANDAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F5989D167FB9C5B60015
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI CINUMPI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8DD6E725968E81835394
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI HARUYAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20DEA6F2FBA50D65E1BF
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI JAMBU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/71D647DB48C370927407
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI KAMUNING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1939B2BEA83E5DCD08CA
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI KEMANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4256F59793AEB68F52C
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI MAJALAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/758824AAE145AE6A1885
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI MALANGGAH 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49E0860DDC6CD2868BF9
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI MALANGGAH 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69F5A5E1FC986DF93ABE
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI PABUARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F48239AA9F873FCBDA4
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI PANUNGGULAN 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8FB3DA66D5662588407
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI PANUNGGULAN 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A5179C6ED30D8CBB03B
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI PANUNGGULAN 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E7E9C974D2892D30833B
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI SUKAMANAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F541C8D7AB43612BE956
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI TUNJUNG 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50BDB9EF129441E36440
Prov. Banten,Kab. Serang,Kec. Tunjung Teja,SD NEGERI TUNJUNG 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/79F06958FF191FB6B3A8
