provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 1 BILOKKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/25EC484FB59A9C170ECE
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 1 LISE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4CE3F5C19E95E3CD5C69
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 1 WANIO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3BC13DC4E8C8DED08BE0
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 1 WETTEE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F356AC21AF027EA4E8C3
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 2 BILOKKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/361C3DF273500ACEC753
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 2 WETTEE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/22158F8551DD3FC8BCFC
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 3 LISE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E8E052060FD75CEE07B1
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 3 WANIO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B4975397862B8FC80C5
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 3 WETTEE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EDE3F9EB93662D74A895
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 4 BILOKKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BDA8719EC95ABBACE2C4
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 4 LISE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F2B1F38755E2C096FA1
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 4 WANIO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4BE5D0498F58B097FD90
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 4 WETTEE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9579C598EA04A5E0E669
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 5 BILOKKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/452871B2F5D30FA5614B
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 5 WANIO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8644BB0691363F2DC9E2
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD NEGERI 6 WANIO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7332A3C20B63D0027C8
Prov. Sulawesi Selatan,Kab. Sidenreng Rappang,Kec. Panca Lautang,SD YAYASAN BUNGA BAPANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0AF6CE6C9453D5CB84BD
