provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI BALONGDOWO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F24B2CE0592F325DEE4
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI BALONGGABUS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A55344E081DBCC0E35E
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI BLIGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/58A4299692A965950B9B
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI CANDI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF05D8E01A818E75D28D
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI DURUNGBANJAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D98E2F383ADBB419297
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI DURUNGBEDUG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/201ECE43EDB05F5931EB
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI GELAM 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FBA831B19C8AD2274D12
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI GELAM 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F02F7144349404FABB6D
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI JAMBANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B083A6B71D267F269D3A
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI KALIPECABEAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B19E31DCC5EE3AD8B1D3
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI KARANGTANJUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4A50EC21B89D91370AA9
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI KEBONSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D4C099BF0999CED4EA4
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI KEDUNGKENDO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0B0418E39F1A8B74619
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI KEDUNGPELUK 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69863F67D125447EE597
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI KEDUNGPELUK 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E2DF525207CDFB56FD4E
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI KENDALPECABEAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C4828722765E369987F7
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI KLURAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E93D68D1C09977BB100
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI LARANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6BE0BE0E49A15C8393C3
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI NGAMPELSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9EECC307210BB2023DD6
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI SEPANDE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/986022EDBEFF1CEB9A0F
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI SIDODADI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7BFA0ED94834E78B91EF
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI SUGIHWARAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9044CBDF391470B5CC94
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI SUMOKALI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/39D5A5110F0D472BAB44
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI SUMORAME,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/96A863729F466F1E3402
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI TENGGULUNAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A86F5E9849A54C7AB088
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD NEGERI WEDOROKLURAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B721EA6B49A23AFA4DF0
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD HANGTUAH 9,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C760DCFF47B9972C2677
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD ISLAM AL AZHAR 52,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/279D8DCC2CC004D8C2C6
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD ISLAM SABILIL HUDA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/217E9EF2F799CE9BFDEA
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD KREATIF THE NAFF,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20CAFCB9D4EB462A2D57
Prov. Jawa Timur,Kab. Sidoarjo,Kec. Candi,SD MUHAMMADIYAH 1 CANDI LABSCHOOL UMSIDA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C3E6316A3E50F239EFB
