provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Palue,SD INPRES LANGAWAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77BA2928C0D148BB138B
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Palue,SD INPRES UWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA3A64C916867A56E980
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Palue,SDN KUJUWONGGA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/959CBB6929623D2445F5
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Palue,SDN OKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC290C9772F01EC40275
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Palue,SD KATOLIK EDO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/16FCCA0711D582CD81BE
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Palue,SD KATOLIK NITUNG PALUE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F2EF6B670119216C724
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Palue,SD KATOLIK TOMU PALUE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A87C206503DF9176548
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Palue,SDK AWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E74CEC1526C4FE68C668
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Palue,SDK CAWALO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61E42205D0FE60F350BF
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Palue,SDK LEI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F86FCA5D96E6D933F87
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Palue,SDK UWA I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/880CDC574E7B124EBD55
Prov. Nusa Tenggara Timur,Kab. Sikka,Kec. Palue,SDK UWA II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/14BDA400F7AF54D2D50B
