provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091443 DOLOK MARAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55992B97752B5E617623
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091444 DOLOK MARAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7968FF8877E51142F08
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091445 DOLOK MARAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/75EB69D2868D2BD34A2E
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091446 SARIBUJAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A949E6D24E4378357F4
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091447 SARIBUJAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60D6D91458178C168898
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091448 SARIBUJAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE56A754E648E82F3E6A
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091450 BAHTONG GURAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/858B3BFE5958EF9D1261
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091451 MARIHAT RAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/162D9F9C294A7474DDE9
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091452 MARIHAT RAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99E79B596BBA7911946F
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091453 MARIHAT RAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A2A57243E15BD35BA133
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091454 PEMATANG DOLOK PANRIBUAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/01165F60F62B2B01E6D2
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091455 MARIHAT HUTA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A38F433E9C6C7A19ED7E
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091456 PONDOK BULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA3BB6262E5F733BA9F0
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091457 PALIA PUTAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1D0E2CFE1BB78A4D9090
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091458 SIATASAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AAF39A7589C0A3D3C60F
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091459 SUKA PARDOMUAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1B463F8A65934B932642
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091460 MARIHAT BARU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49CAEDF2F6CF503973CD
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 091461 SIMPANG KAWAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0D67423C0D96C7314D6
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 094139 JONGGINIHUTA ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/71F5F297C3F4A18627D1
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 095238 NAGUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/25926784F17F1903C2EA
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 095239 SILAU PULUK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/86CB5ED6EDC7C1F98CEB
Prov. Sumatera Utara,Kab. Simalungun,Kec. Dolok Panribuan,SD NEGERI 095240 PALIA NAOPAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/854FCC12AEA4C2B9B76A
