provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 091703 DUSUN ULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50634900D1AECE011401
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 091704 TINJOWAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A825F77077699DB6279
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 091705 TINJOWAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/84F3D0B131AC65246D7A
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 091707 TINJOWAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C88826F0B325A66A1437
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 091709 AFD II TINJOWAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/63C2069BB6588FE5FABD
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 091710 AFD VI TINJOWAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D60FB13B18F36FBB7C14
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 094121 HUTAPARIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/054751EDFA79ED8EC268
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 094122 DUSUN BENDO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0861AFD1BBC5540F63DD
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 094123 SORDANG BOLON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE2483127EF85E8E2C3A
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 095218 SIRINGAN RINGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/24C452DB5EF772AB1C94
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 095220 AEK GERGER,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3AF60630A46F0B11CDC2
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 095223 SEI MERBAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/221693E753F0950AF290
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 095224 TARATAK NAGODANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5BCBC93E4834F5C96A83
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 095225 TINJOUWAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F46E952EFEC06A02AF0
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 096754 TELUK LAPIAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DB2F2E086D839A13AB3E
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 096756 SAYUR MATINGGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/402BB96F96042B9EE57B
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 096757 PANGGUALAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1DDDC3663D9FCA73543E
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 097347 UJUNG PADANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D7D3AC9801946B874F5
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 097348 UJUNGBAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0E8AD5CC589ED112C1E
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 097352 DABUAN CINCIN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B58CB99648B63EF3100F
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 097354 HUTA PARIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC3A4270536316486AB6
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 097817 AFD XII TINJOWAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40457F09F0363DC29277
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 097818 PAGAR BOSI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DEF21DE3EB33A7AA163F
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 097819 DUSUN ULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/315A8489A2FD5048E68A
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 097966 UJUNGPADANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D05B6726C7CF603BB31F
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 098024 PP MARIHAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/85EE0B23261D43C9C339
Prov. Sumatera Utara,Kab. Simalungun,Kec. Ujung Padang,SD NEGERI 098150 RAWA MASIN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A0E684EC2FE85F14D0D1
