provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 01 SENANING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D2E113971386E45D8F2
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 02 JASA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/343BA7576211F997CD2C
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 03 EMPURA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/444BBBF6036794A67AD9
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 04 SEPILUK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2BB523017B852235DADE
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 05 SEBADAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9BAB6C5F1CA684682A46
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 06 RENTONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6BADFEB3D9D2267EB536
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 07 RASAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A8234BE96B69CA401C0
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 08 MUAKAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94B815D4A9165C8C58E4
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 09 SUNGAI SERIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F980C5F74E83343DDBA
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 10 SUAK MEDANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C205CC93553C43E0D647
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 11 SEPADIT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6EACFAF9B173DB2207EC
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 12 BEKUAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/823625AB10C8547F89F9
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 13 NANGA BAYAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A9D39EC4AF08F8102DCA
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 14 KEDANGRAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF1F414914A1F58E9D35
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 15 RIAM SEJAWAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/340DA81B00897A6C31EE
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 16 SEPAN PETURAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2513A57DB72C754E80B5
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 17 LUBUK TAPANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E3BA44D0C047A0CE4240
Prov. Kalimantan Barat,Kab. Sintang,Kec. Ketungau Hulu,SD NEGERI 18 MELINGKAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/777F568C9B888CC67A8C
