provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 02 SELAYO TANANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38E08F32AA25FDF852A1
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 03 BATU BANYAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D040EC62060729671F62
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 04 KOTO LAWEH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1015140274223C9B4716
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 05 BATU BAJANJANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/88EC59B99AA0105D1BB1
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 06 LIMAU LUNGGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE848F6C940B536F68C7
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 08 KOTO ANAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/86852C9D4E7BF88A26F0
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 09 KOTO ANAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DEB6A840D11E9C175004
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 10 KOTO ANAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F609E7FA2BFDF02D2D43
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 11 KOTO LAWEH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0006D7F0FC2026F0812
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 12 SELAYO TANANG BUKIT SILEH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/35B92638B489D0644648
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 13 BATU BAJANJANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0206CF5B53C38E9D7643
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 15 KOTO ANAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EFF6C2DA1B07EEE8FE92
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 16 KOTO LAWEH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BDE77033DF1A9E156F1E
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 17 BATU BANYAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23857D9C772A25B6EB23
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 19 KOTO ANAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/98C656B68B6848E9D560
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 20 SELAYO TANANG BUKIT SILEH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4329A80BF5A75149315B
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 21 SELAYO TANANG BUKIT SILEH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2CA9DC61AF5D5D4E3E3E
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 22 BATU BAJANJANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/34C8EDB674A3A6D5CA06
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 23 KOTO ANAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB93D10297A47D652EDA
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SD N 24 KOTO ANAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D49C09C0A03E71F1A12
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SDN 01 KOTO ANAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/539B5F392AABC28F024D
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SDN 18 LIMAU LUNGGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A9158B24B81352A3E15E
Prov. Sumatera Barat,Kab. Solok,Kec. Lembang Jaya,SDN.14 KOTO ANAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6127E7CE968B3F33728D
