provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI BANJARSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5A906004779D4F2D75B
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI BANTARSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CDC8754297E7AE5BA983
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI CIJAMBE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70E8F720139804E0DF88
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI CIMENTENG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2730C34584958A40D2AE
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI CISALAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0AF32D68B93474E18DBA
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI CURUG SARINABAKTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C6CD3031818EAA88590F
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI DAYABAKTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC29854C29060800BD37
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI EGLASARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/22622CFA2AFDF4D9F583
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI GIRIMUKTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CCC9CC18232C950EEC5F
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI GUNUNGSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EAE2D635E408A61B1989
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI GUNUNGTUA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50F792899CB458131EBE
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI KARYAMEKAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8B804C6A86A616EBB40D
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI MARGABAKTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A25B5BA971487682FDB
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI MEKARSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC23A71B5C8DEF024CA4
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI PUSPAJAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10520E8CC20121236F8C
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI SARIBAKTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0AB259CD55321E04715A
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI SARIWANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F4B7E946316F401873B
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI SINDANGPALAY,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A45A2514A74DA184909C
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI SUKALAKSANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/02B95EFFCFB157128095
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI TANJUNGWANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C6803223126BC38C42F
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SD NEGERI WENINGSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD26F0E5B8419B224065
Prov. Jawa Barat,Kab. Subang,Kec. Cijambe,SDS IT JAYA BAKTI CIPEUSAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/038E4E2A7F2A4DB0A26E
