provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI 3 BANTARPANJANG ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/34D05B606C14118C5B73
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI ARTANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77EAC90EDFFA1C0186DF
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI BABAKAN SUKAMANAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A74632B5EB1C83E70FEF
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI BANTARAGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0019A9E1847995922621
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI BANTARJATI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59665DB848770528B917
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI BANTARPANJANG 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4C2FE8040BCDB85327C8
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI BANTARPANJANG 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A48964C71CCF25DC14B
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI BOJONGDUREN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B112E5676DB4F0281709
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI BOJONGJENGKOL 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A3C7E2F871283AFC7DB
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI BOJONGJENGKOL 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D5E74CDEFE35B4F3D82E
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI BOJONGLOPANG 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40C3523E1043E1CA410E
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI BOJONGLOPANG 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F6D818B7F720B4D5165
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI BOJONGLOPANG 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C143FD6001F690ACBAA
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI BUNIWANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1BB61D418243E1DBE3CC
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CIAGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/586C7095275C8CE1B026
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CIAREUY,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36CEAD3BC7A3DF326432
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CIASIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/30728D6C4EB4F0EC5ED6
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CIBOJONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21027BE884B13558E0BB
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CIBUYUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5CE0519B7389F2996248
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CIGUHA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4295F6B21D718D6857BE
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CIGUNA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC9AB3722E6EB54C9D1A
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CIJULANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B8B6076E0AD685E2689
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CILEUTIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/445B638290161C7B6219
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CILIMUS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CFD2A7D4407232A1F782
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CIMAPAG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/295007751C63F8F94DC0
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CIOMAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/78BE5467F9DB13BD8151
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CIRAMPO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B83FACAF298573D5F06A
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CITALAHAB,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76FAC8E3B72146E6949B
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI CITIGEU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/89146033AE0248FB4ED3
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI GIRIAWAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76CFD6AB0E951F2B1538
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI KUBANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4C61A10D21F618E0D3AC
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI LEUWIDINGDING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5657E422427884BFE91D
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI LEUWIPEUNDEUY,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/287AA5D632726C0E861D
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI NANGERANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F759A720D8ACC5E9BD47
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI NEGLASARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D239AC9DFAD5DB15693F
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI PADABEUNGHAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E5443BA3BE63E8CFF628
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI PAMOYANAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E19B30A098FC22467F6F
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI PASIRANGIN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70750E62ED38DDCC711D
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI PUNCAKDAGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C9B3C7CCA7ED9E6386FB
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI SINDANGSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D1A4DD1100023B882DE
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI SIRNASARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BE92EA96E8DF03A80ABC
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI TEGALEGA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8BA0E717CDEFABAC34D5
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD NEGERI TIPAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3BB8488931DE5478F1D4
Prov. Jawa Barat,Kab. Sukabumi,Kec. Jampang Tengah,SD ISLAM AL IMAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BB2741D707FAD614AB52
