provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI 02 BALANDONGAN ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EAD89A722380CD455443
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI 1 PARAKANSALAK ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/03DA47F23B4BBDCC103A
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI 3 BOJONGLONGOK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FB231774DD0F9EEB823
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI BALANDONGAN 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8DAC7A7E2BE80C55200C
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI BOJONGGALING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A6FF50A31877FBC8A4B
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI CIBURIAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9486B8D2D32F762ACEFE
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI CIKUPA ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/25DAD8AC4A86BE4A3C8E
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI LEBAKLARANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44E185FA9D5C219029BA
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI LEBAKSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F90DB0AC54C64CA6ED7
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI PARAKANSALAK 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D63AAE5B1E754450C5A
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI PARAKANSALAK 4,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4731C3DD76217D723EDD
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI SUKAKERSA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/473710496ACDFA5399F9
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SD NEGERI SUKATANI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D6E63904F494D5CCB83
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SDN 1 BOJONGLONGOK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/333F4C4B084D85615064
Prov. Jawa Barat,Kab. Sukabumi,Kec. Parakansalak,SDN 2 BOJONGLONGOK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F58AF0F4F08EB262803
