provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI 1 PARUNGSEAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/651AA42C04C2003EAB70
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI 1 SELABINTANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61C8FEB13C59A8ABE90C
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI 2 PARUNGSEAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A6EC6157B2CAE5B7EA1A
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI 2 SELABINTANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E82F1FC518A09EC070BE
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI BABAKANSITU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7ECF993F65F1B5861BED
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI BINONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1263D99BA55278DF65C3
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI CISARUA 4,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B2AB2F45D58637E592D0
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI NANGEWER,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/92D690E922BD18124EDD
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI PALASARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F0FA9AEA245D916FA0A6
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI PARUNGSEAH GEDE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F97BEC805E573B9FFF6
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI PERBAWATI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BD3A4C6E548EB8D4C659
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI PEUNDEUY,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/765A2A31791A2B8AA7F4
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI SELAAWI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/705E84FEAFA61CDC695F
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI SELABINTANA WETAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/29EA4B16E9A497EDD662
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI SUDAJAYA GIRANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AFD9F79A754326A7743F
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI SUKAJAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10F24A92767397A7EA2D
Prov. Jawa Barat,Kab. Sukabumi,Kec. Sukabumi,SD NEGERI TENJOLAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/747DA0A0A654CA21C149
