provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD INPRES KALINDAKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8DADBF0CBE6CE9D4A885
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD INPRES KAMBATANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F5236859165A363E24E
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD INPRES KANELU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A364ABA34638B171B2A
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD INPRES LETE GARONA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00517A0B487D60F915CE
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD INPRES LOMBU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AAC00509A84539FE79C0
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD INPRES NDAPA TAKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A502F5332D0CCC35588D
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD INPRES OMBA NGAINGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4FD6EB1C18296F34AE74
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD INPRES OMBA REDAPA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/801F1C80F3926B4E1149
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD NEGERI LOLO WANNO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D0E0057EF27FCCCC4521
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD NEGERI MATA WEE KARORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15B4BFDB7B104652F0C6
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD NEGERI MAWO MALITI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4D445ADC8866DFA29EC9
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD NEGERI OMBA RADE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC9D0A21D8F0857DF0E1
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD NEGERI PADEDE WERI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/83BFE4623BD83BE156AF
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD NEGERI WEE KOKORA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1BEB97C9F1F65AD0FE58
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD KAREKA NDARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55DA5C28568B4A2A716A
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD KATOLIK KALLU SOBA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C3ABF1B07202FE98AF70
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD KATOLIK MAREDA WUNI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7EFD559991CCC00E7FE4
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD KATOLIK WEE KAMURA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BDE83F1A68B7F8B4EF7A
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD MASEHI LETE WUNGANA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE890369E80C39E0B991
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD MASEHI RINGGITA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/82CED31E35BAEE67476B
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD MASEHI TENGGABA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07C6ACC5879B456456AD
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD MASEHI WEE RAME,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A677CD7FF690735E79A
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SD SOLID,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC013EA5D68D8341AD0D
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SDK GOLLU SAPI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F14CE3FF9D95E67CF649
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SDK KIKU BOKO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/301A018678469D62FE51
Prov. Nusa Tenggara Timur,Kab. Sumba Barat Daya,Kec. Wewewa Tengah,SDM MATA LOMBU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B4C730FD73D90034AD7
